DateId;dateWeekOfMonth;dateQuarter;dateIsWeekend;dateIsHolidayInd;dateWeekDayStartsMonday;timestamp_x;Product;Customer;Volume;timestamp_y;VolumeAvgLast3months;VolumeAvgLast6months;VolumeAvgLast9months;VolumeAvgLast12months;Maksymalna temperatura dobowa;Minimalna temperatura dobowa;Srednia temperatura dobowa;Suma dobowa opadow [mm];Pokrywa sniegu [cm]
2021-01-01;1;1;0;1;5;1609459200.0;APM;X;2401.3014521263176;1609459200.0;0.0;0.0;0.0;0.0;0.5;-1.2;-0.5;0.0;0
2021-01-01;1;1;0;1;5;1609459200.0;APM;Rest;3124.6836983082494;1609459200.0;0.0;0.0;0.0;0.0;0.9;-1.2;-0.2;0.0;0
2021-01-01;1;1;0;1;5;1609459200.0;APM;Rest;3124.6836983082494;1609459200.0;0.0;0.0;0.0;0.0;0.5;-1.2;-0.5;0.0;0
2021-01-01;1;1;0;1;5;1609459200.0;COURIER;Rest;3849.234585934219;1609459200.0;0.0;0.0;0.0;0.0;0.9;-1.2;-0.2;0.0;0
2021-01-01;1;1;0;1;5;1609459200.0;COURIER;Rest;3849.234585934219;1609459200.0;0.0;0.0;0.0;0.0;0.5;-1.2;-0.5;0.0;0
2021-01-01;1;1;0;1;5;1609459200.0;COURIER;X;1992.4285535760114;1609459200.0;0.0;0.0;0.0;0.0;0.9;-1.2;-0.2;0.0;0
2021-01-01;1;1;0;1;5;1609459200.0;COURIER;X;1992.4285535760114;1609459200.0;0.0;0.0;0.0;0.0;0.5;-1.2;-0.5;0.0;0
2021-01-01;1;1;0;1;5;1609459200.0;APM;X;2401.3014521263176;1609459200.0;0.0;0.0;0.0;0.0;0.9;-1.2;-0.2;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;COURIER;Rest;49570.40528435496;1609545600.0;0.0;0.0;0.0;0.0;4.4;-1.6;0.8;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;COURIER;X;9477.377839848743;1609545600.0;0.0;0.0;0.0;0.0;1.2;-0.9;0.3;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;COURIER;X;9477.377839848743;1609545600.0;0.0;0.0;0.0;0.0;4.4;-1.6;0.8;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;APM;Rest;27224.31425025818;1609545600.0;0.0;0.0;0.0;0.0;1.2;-0.9;0.3;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;APM;Rest;27224.31425025818;1609545600.0;0.0;0.0;0.0;0.0;4.4;-1.6;0.8;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;APM;X;20195.515269083353;1609545600.0;0.0;0.0;0.0;0.0;4.4;-1.6;0.8;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;APM;X;20195.515269083353;1609545600.0;0.0;0.0;0.0;0.0;1.2;-0.9;0.3;0.0;0
2021-01-02;1;1;1;0;6;1609545600.0;COURIER;Rest;49570.40528435496;1609545600.0;0.0;0.0;0.0;0.0;1.2;-0.9;0.3;0.0;0
2021-01-03;2;1;1;0;7;1609632000.0;COURIER;X;39126.74688830855;1609632000.0;0.0;0.0;0.0;0.0;2.4;0.8;1.2;0.0;0
2021-01-03;2;1;1;0;7;1609632000.0;COURIER;X;39126.74688830855;1609632000.0;0.0;0.0;0.0;0.0;4.0;-0.9;1.1;0.0;0
2021-01-03;2;1;1;0;7;1609632000.0;APM;X;63561.70263960316;1609632000.0;0.0;0.0;0.0;0.0;2.4;0.8;1.2;0.0;0
2021-01-03;2;1;1;0;7;1609632000.0;APM;X;63561.70263960316;1609632000.0;0.0;0.0;0.0;0.0;4.0;-0.9;1.1;0.0;0
2021-01-03;2;1;1;0;7;1609632000.0;COURIER;Rest;101658.82059561006;1609632000.0;0.0;0.0;0.0;0.0;2.4;0.8;1.2;0.0;0
2021-01-03;2;1;1;0;7;1609632000.0;APM;Rest;94206.97525053409;1609632000.0;0.0;0.0;0.0;0.0;4.0;-0.9;1.1;0.0;0
2021-01-03;2;1;1;0;7;1609632000.0;APM;Rest;94206.97525053409;1609632000.0;0.0;0.0;0.0;0.0;2.4;0.8;1.2;0.0;0
